UNQ_ID,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,PART_ROLE,AFFILIATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_NCSS_P1,Pre_NCSS_P2,Pre_NCSS_P3,Pre_NCSS_P4,Pre_NCSS_P5,Pre_NCSS_Agg,Post_NCSS_P1,Post_NCSS_P2,Post_NCSS_P3,Post_NCSS_P4,Post_NCSS_P5,Post_NCSS_Agg,Pre_AT_PT1,Pre_AT_PT2,Pre_AT_PT3,Pre_AT_PT_Agg,Post_AT_PT1,Post_AT_PT2,Post_AT_PT3,Post_AT_PT_Agg,Pre_AT_WT1,Pre_AT_WT2,Pre_AT_WT3,Pre_AT_WT4,Pre_AT_WT5,Pre_AT_WT_Agg,Post_AT_WT1,Post_AT_WT2,Post_AT_WT3,Post_AT_WT4,Post_AT_WT5,Post_AT_WT_Agg,Pre_AT_CT1,Pre_AT_CT2,Pre_AT_CT3,Pre_AT_CT4,Pre_AT_CT5,Pre_AT_CT_Agg,Post_AT_CT1,Post_AT_CT2,Post_AT_CT3,Post_AT_CT4,Post_AT_CT5,Post_AT_CT_Agg,Pre_AT_LA1,Pre_AT_LA2,Pre_AT_LA3,Pre_AT_LA4,Pre_AT_LA5,Pre_AT_LA_Agg,Post_AT_LA1,Post_AT_LA2,Post_AT_LA3,Post_AT_LA4,Post_AT_LA5,Post_AT_LA_Agg,Pre_AT_SC1,Pre_AT_SC2,Pre_AT_SC3,Pre_AT_SC4,Pre_AT_SC5,Pre_AT_SC6,Pre_AT_SC_Agg,Post_AT_SC1,Post_AT_SC2,Post_AT_SC3,Post_AT_SC4,Post_AT_SC5,Post_AT_SC6,Post_AT_SC_Agg,Pre_ST_SD1,Pre_ST_SD2,Pre_ST_SD3,Pre_ST_SD4,Pre_ST_SD5,Pre_ST_SD_Agg,Post_ST_SD1,Post_ST_SD2,Post_ST_SD3,Post_ST_SD4,Post_ST_SD5,Post_ST_SD_Agg,Pre_ST_SR2,Pre_ST_SR1,Pre_ST_SR3,Pre_ST_SR4,Pre_ST_SR5,Pre_ST_SR_Agg,Post_ST_SR2,Post_ST_SR1,Post_ST_SR3,Post_ST_SR4,Post_ST_SR5,Post_ST_SR_Agg,POSTAL
EFD47FEA,18-24 years old,Female,Yes,Friend,No,7 Polytechnic,10. C2C Social Media Feature,3,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,5,1,1,5,5,3.4,4,1,2,4,4,3,1,1,1,1,1,2,1,1.3,3,1,2,3,3,2.4,4,2,2,3,1,2.4,1,1,1,2,5,2,1,1,1,2,4,1.8,2,2,2,4,5,3,2,2,4,4,4,3.2,5,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,2,5,1.8,1,2,1,4,4,2.3,5,5,5,4,4,4.2,5,5,4,4,5,4.5,543188
1299325A,18-24 years old,Female,No,Not Applicable,No,7 Polytechnic,10. C2C Social Media Feature,7,Social Media Personality,RP Alumnus,5,5,5,5,3,1,5,5,3.8,3,1,2,4,5,3,1,1,1,1,1,1,1,1,5,4,3,5,5,4.4,5,3,3,3,2,3.2,3,1,1,5,4,2.8,3,1,1,2,4,2.2,1,1,1,5,5,2.6,1,2,3,5,5,3.2,5,1,5,3,1,1,2.7,1,1,1,1,1,1,1,1,1,1,1,5,1.7,1,1,1,2,1,1.3,5,5,5,5,3,4,5,5,5,5,4,4.7,543207
3027DF64,18-24 years old,Female,No,Not Applicable,No,7 Polytechnic,10. C2C Social Media Feature,7,Social Media Personality,RP Student (PET),5,5,5,5,5,4,4,5,4.6,4,3,2,4,4,3.4,2,1,1,1.3,2,2,2,2,4,4,4,3,1,3.2,5,4,3,2,3,3.4,1,1,1,5,5,2.6,2,3,1,2,4,2.4,1,1,1,4,5,2.4,2,4,4,2,5,3.4,1,1,1,1,3,3,1.7,1,1,1,1,2,1,1.2,1,1,1,1,1,1,2,2,2,3,4,2.3,5,5,5,5,4,4.4,5,5,4,4,4,4.4,670616
40D91B58,18-24 years old,Male,Yes,Friend,Yes,7 Polytechnic,10. C2C Social Media Feature,4,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,5,5,4,4,5,4.6,4,3,2,4,4,3.4,2,1,1,1.3,2,2,2,2,4,4,4,3,1,3.2,5,4,3,2,3,3.4,1,1,1,5,5,2.6,2,3,1,2,4,2.4,1,1,1,4,5,2.4,2,4,4,2,5,3.4,1,1,1,1,3,3,1.7,1,1,1,1,2,1,1.2,1,1,1,1,1,1,2,2,2,3,4,2.3,5,5,5,5,4,4.4,5,5,4,4,4,4.4,670627
0517723A,18-24 years old,Male,Yes,Friend,No,7 Polytechnic,10. C2C Social Media Feature,6,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,5,1,1,5,5,3.4,4,3,3,4,4,3.6,1,1,1,1,3,1,1,1.7,5,1,5,5,1,3.4,5,3,1,3,1,2.6,1,1,1,3,5,2.2,1,2,1,1,4,1.8,1,1,1,5,5,2.6,1,2,1,2,5,2.2,1,1,1,1,1,1,1,1,1,1,1,3,1,1.3,1,1,1,1,5,1.7,1,1,1,1,4,1.6,5,5,5,5,5,4.4,5,5,5,5,4,4.7,730334
585E234F,18-24 years old,Female,No,Not Applicable,No,7 Polytechnic,10. C2C Social Media Feature,7,Social Media Personality,RP Alumnus,5,5,5,5,1,1,5,5,3.4,4,3,3,4,4,3.6,1,1,1,1,3,1,1,1.7,5,1,5,5,1,3.4,5,3,1,3,1,2.6,1,1,1,3,5,2.2,1,2,1,1,4,1.8,1,1,1,5,5,2.6,1,2,1,2,5,2.2,1,1,1,1,1,1,1,1,1,1,1,3,1,1.3,1,1,1,1,5,1.7,1,1,1,1,4,1.6,5,5,5,5,5,4.4,5,5,5,5,4,4.7,730338
87E3E135,25-34 years old,Male,No,Not Applicable,No,7 Polytechnic,10. C2C Social Media Feature,10,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,5,1,1,5,5,3.4,5,2,1,5,5,3.6,1,1,1,1,1,1,1,1,3,1,2,3,3,2.4,5,3,3,5,3,3.8,1,1,1,2,5,2,1,3,1,4,5,2.8,2,2,2,4,5,3,3,3,3,5,5,3.8,5,1,1,3,1,1,2,1,1,1,5,4,1,2.2,1,1,1,2,5,2,1,1,1,1,5,1.8,5,5,5,4,4,4.1,5,5,5,5,4,4.7,730362
558755DA,18-24 years old,Female,Yes,Friend,No,7 Polytechnic,10. C2C Social Media Feature,4,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,5,3,1,5,5,3.8,5,1,3,5,5,3.8,1,1,1,1,2,1,1,1.3,5,2,4,5,3,3.8,3,1,2,3,3,2.4,3,3,1,4,4,3,1,1,1,1,5,1.8,4,1,1,5,5,3.2,3,3,2,1,5,2.8,3,1,2,3,3,1,2.2,4,1,1,2,2,1,1.8,1,1,1,1,5,1.8,1,1,1,2,4,1.8,5,5,5,5,5,4.5,5,5,5,5,4,4.7,730746
8D0B8BA4,18-24 years old,Female,Yes,Friend,No,7 Polytechnic,10. C2C Social Media Feature,9,Social Media Personality,RP Student (PET),5,5,5,5,1,1,5,5,3.4,5,1,3,5,5,3.8,1,1,1,1,2,1,1,1.3,5,1,5,5,1,3.4,3,1,2,3,3,2.4,1,1,1,3,5,2.2,1,1,1,1,5,1.8,1,1,1,5,5,2.6,3,3,2,1,5,2.8,1,1,1,1,1,1,1,4,1,1,2,2,1,1.8,1,1,1,1,5,1.8,1,1,1,2,4,1.8,5,5,5,5,5,4.5,5,5,5,5,4,4.7,730750
BB8CFD13,25-34 years old,Female,No,Not Applicable,No,7 Polytechnic,10. C2C Social Media Feature,4,Social Media Personality,RP Alumnus,5,5,5,5,3,1,5,5,3.8,5,1,3,5,5,3.8,1,1,1,1,2,1,1,1.3,5,2,4,5,3,3.8,3,1,2,3,3,2.4,3,3,1,4,4,3,1,1,1,1,5,1.8,4,1,1,5,5,3.2,3,3,2,1,5,2.8,3,1,2,3,3,1,2.2,4,1,1,2,2,1,1.8,1,1,1,1,5,1.8,1,1,1,2,4,1.8,5,5,5,5,5,4.5,5,5,5,5,4,4.7,730760
