UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,Post-Pre_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,Post-Pre_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,Post-Pre_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,Post-Pre_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,Post-Pre_MR5,I_MR5,ENTRY_ID,DATE_TIME
4986297A24,Tan Hon Kee,45 - 54,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,8,3,3,3,4,4,3,4,3,4,2,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,3,3.44,3.69,0.25,Y,2,3,2,2,4,4,2,2,4,4,2.8,3,0.2,Y,4,4,3,2,4,4,3,4,3,3,4,4,4,4,4,4,4,4,3,3,3.6,3.6,0,N,3,4,3,4,3,4,3,4,3,4,1,Y,3,4,4,3,3,3,4,4,3.5,3.25,-0.25,N,245,14-08-21 11:49
2436552F90,Tan Hon Kee,45 - 54,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,5,4,4,4,5,4,1,1,5,5,3,5,4,5,4,5,4,5,3,3,4,5,1,5,2,5,4,5,4,5,4,5,4,5,4,5,3.5,4.56,1.06,Y,2,4,2,4,4,2,3,5,4,2,3,3.4,0.4,Y,5,2,4,4,4,4,3,5,4,5,5,4,5,5,5,3,5,3,5,3,4.5,4,-0.5,N,3,5,4,3,4,5,4,5,3.75,4.5,0.75,Y,4,5,2,5,3,2,2,1,2.75,4,1.25,Y,259,14-08-21 13:07
1538319F61,Tan Hon Kee,45 - 54,Male,Yes,Family Member,No,Postgraduate Degree,C2C Social Media Invasion,4,5,5,5,3,2,2,2,3,2,2,2,2,2,3,1,3,1,3,2,2,1,2,2,2,2,2,2,4,2,3,2,3,2,3,2,2.63,1.81,-0.81,N,3,4,3,2,4,4,2,2,4,4,3.2,3.2,0,N,4,4,4,4,3,4,2,1,3,5,3,5,3,5,2,5,3,5,3,4,3,4.1,1.1,Y,3,3,3,4,3,2,3,4,3,3.25,0.25,Y,2,1,3,1,3,2,3,2,2.75,1.25,-1.5,N,313,22-08-21 12:17
2335399G34,Tan Hon Kee,45 - 54,Male,No,Not Applicable,No,University Degree,C2C Social Media Invasion,5,4,4,4,3,4,3,4,4,5,3,4,4,2,4,4,4,4,3,3,3,4,3,4,4,4,4,4,3,4,3,4,4,4,3,4,3.44,3.88,0.44,Y,5,4,4,4,2,4,4,2,4,4,3.8,3.6,-0.2,N,4,5,4,4,5,5,5,5,3,4,4,4,4,4,4,4,4,4,3,4,4,4.2,0.2,Y,3,4,4,4,4,5,4,5,3.75,4.5,0.75,Y,3,2,4,4,5,4,3,3,3.75,3,-0.75,N,482,29-08-21 6:07
40483945I46,Tan Hon Kee,45 - 54,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,3,3,3,3,3,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,5,5,4,4,4,4,5,4,3,4,4.44,4.44,0,N,4,3,3,2,3,4,3,2,4,3,3.4,2.8,-0.6,N,5,5,4,4,4,4,3,5,3,2,5,5,4,5,5,5,5,5,4,4,4.2,4.4,0.2,Y,3,4,4,5,4,4,4,4,3.75,4.25,0.5,Y,3,4,3,3,3,2,2,2,2.75,3,0.25,Y,319,22-08-21 15:24
5153816I39,Tan Hon Kee,35 - 44,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.13,0.13,Y,3,2,3,2,3,4,3,2,3,3,3,2.6,-0.4,N,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.1,0.1,Y,3,4,3,2,3,4,3,4,3,3.5,0.5,Y,3,3,3,3,3,3,3,3,3,2.75,-0.25,N,243,14-08-21 11:44
2189576D24,Tan Hon Kee,35 - 44,Female,Yes,Family Member,No,University Degree,C2C Social Media Invasion,8,4,4,4,2,5,5,5,3,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4.25,4.75,0.5,Y,2,5,2,1,1,1,4,1,5,1,2.8,1.8,-1,N,4,5,3,3,3,5,5,5,5,5,5,5,5,5,3,5,3,5,3,3,3.9,4.6,0.7,Y,3,5,5,5,4,5,4,5,4,5,1,Y,5,5,5,5,5,5,2,2,4.25,4.5,0.25,Y,328,26-08-21 2:30
1432589B50,Tan Hon Kee,35 - 44,Male,No,Not Applicable,No,University Degree,C2C Social Media Invasion,7,5,5,4,3,3,5,5,3,5,3,5,5,5,5,5,5,5,2,2,3,4,2,3,3,3,4,3,5,5,5,4,5,4,2,4,3.75,4.06,0.31,Y,3,5,3,2,3,3,5,4,2,3,3.2,3.4,0.2,Y,3,4,4,4,4,4,5,3,3,2,5,5,5,5,5,5,5,5,3,3,4.2,4,-0.2,N,1,4,1,3,3,3,3,2,2,3,1,Y,3,5,5,5,5,5,3,3,4,4.25,0.25,Y,296,18-08-21 7:05
8443010F97,Tan Hon Kee,45 - 54,Male,No,Not Applicable,No,University Degree,C2C Social Media Invasion,8,5,5,5,2,4,3,5,5,5,3,5,5,5,3,5,3,5,1,4,4,5,5,5,2,3,5,5,5,5,5,5,5,5,3,3,3.69,4.63,0.94,Y,2,4,2,1,5,5,4,2,5,5,3.6,3.4,-0.2,N,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,3,4.5,4.8,0.3,Y,1,4,3,4,3,5,5,5,3,4.5,1.5,Y,5,5,5,5,5,5,2,2,4.25,4.5,0.25,Y,340,28-08-21 3:24
2334259C71,Tan Hon Kee,18 -24,Male,Yes,Family Member,No,Upper Secondary School,C2C Social Media Invasion,5,5,5,5,1,1,1,1,1,2,1,1,5,2,1,2,1,2,1,2,1,2,1,1,1,3,1,2,1,2,1,4,1,2,1,4,1.25,2.06,0.81,Y,1,1,5,2,1,5,5,2,1,2,2.6,2.4,-0.2,N,1,5,1,4,1,3,1,2,1,3,1,4,1,4,1,3,1,4,1,2,1,3.3,2.3,Y,1,5,1,2,1,4,1,5,1,4,3,Y,1,2,1,3,1,2,5,3,2,2.25,0.25,Y,1068,04-09-21 8:29
