UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,Post-Pre_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,Post-Pre_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,Post-Pre_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,Post-Pre_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,Post-Pre_MR5,I_MR5,ENTRY_ID,DATE_TIME
3766855868,KahHeng,55 - 64,Male,No,Not Applicable,No,University Degree,C2C Social Media Invasion,7,4,4,4,2,5,5,5,4,5,5,5,5,2,2,3,5,5,3,4,5,5,5,5,1,4,5,5,5,5,5,5,5,5,4,3,4.13,4.44,0.31,Y,4,5,1,1,5,5,1,1,5,4,3.2,3.2,0,N,5,5,5,2,5,5,5,5,4,5,4,1,5,5,5,5,5,5,5,5,4.8,4.3,-0.5,N,4,5,5,5,5,5,4,5,4.5,5,0.5,Y,5,5,5,5,5,5,5,4,5,4.25,-0.75,N,830,01-09-21 1:10
6602970617,KahHeng,35 - 44,Male,No,Not Applicable,No,University Degree,C2C Social Media Invasion,6,4,4,4,4,4,3,4,5,4,5,5,4,2,2,4,5,4,1,1,4,4,2,3,2,4,4,4,3,2,2,2,2,3,1,4,3.06,3.38,0.31,Y,5,3,4,2,4,4,4,2,2,4,3.8,3,-0.8,N,4,5,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,3.9,3.9,0,N,4,4,4,4,4,4,4,4,4,4,0,N,5,4,3,4,2,2,2,2,3,3,0,N,742,30-08-21 14:16
6577771385,KahHeng,35 - 44,Female,No,Not Applicable,No,Postgraduate Degree,C2C Social Media Invasion,8,5,5,5,3,3,3,3,3,3,4,5,4,5,2,3,4,3,2,5,3,3,3,3,2,1,3,4,3,3,3,3,3,3,3,3,3,3.31,0.31,Y,4,4,3,1,2,5,3,1,3,4,3,3,0,N,4,5,5,5,5,5,5,5,3,3,4,5,4,5,4,5,4,5,4,5,4.2,4.7,0.5,Y,4,5,4,4,4,4,3,4,3.75,4.25,0.5,Y,4,4,5,5,4,5,2,2,3.75,4,0.25,Y,740,30-08-21 13:52
3636435158,KahHeng,35 - 44,Female,No,Not Applicable,No,Postgraduate Degree,C2C Social Media Invasion,8,5,5,4,3,4,3,4,3,3,4,5,4,5,2,3,4,5,2,5,3,2,3,3,2,1,3,3,3,3,3,4,3,3,3,3,3,3.5,0.5,Y,4,4,3,1,2,5,3,2,3,4,3,3.2,0.2,Y,4,5,5,4,5,5,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4.2,4.2,0,N,4,4,4,4,4,4,3,4,3.75,4,0.25,Y,4,4,5,5,4,4,2,2,3.75,4,0.25,Y,739,30-08-21 13:49
4032767935,KahHeng,35 - 44,Male,Yes,Friend,No,University Degree,C2C Social Media Invasion,3,4,4,4,2,4,4,4,4,4,4,4,4,2,4,3,3,4,4,4,3,4,3,2,4,4,4,3,4,4,4,4,4,4,4,4,3.69,3.63,-0.06,N,2,4,2,2,4,4,2,2,4,4,2.8,3.2,0.4,Y,4,4,4,4,4,4,5,5,2,4,4,4,4,4,4,4,4,4,4,4,3.9,4.1,0.2,Y,4,4,2,4,4,4,4,4,3.5,4,0.5,Y,2,2,4,5,3,4,3,3,3,3.75,0.75,Y,660,29-08-21 10:21
4831213315,KahHeng,45 - 54,Male,No,Not Applicable,No,University Degree,C2C Social Media Invasion,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,3,4,2,4,4,5,3,4,3,4,3,4,2,3,3.31,3.94,0.63,Y,4,2,2,2,3,4,3,2,4,4,3.2,2.8,-0.4,N,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4.1,4.1,0,N,4,4,4,5,3,4,3,4,3.5,4.25,0.75,Y,4,3,5,5,4,3,3,4,4,3.5,-0.5,N,593,29-08-21 8:34
6856986495,KahHeng,45 - 54,Male,No,Not Applicable,No,University Degree,C2C Social Media Invasion,3,3,3,3,2,3,1,3,2,4,2,3,4,4,3,4,3,4,3,3,3,3,3,3,3,2,4,4,3,4,3,4,3,4,1,1,2.69,3.31,0.63,Y,2,2,2,2,4,5,2,1,3,4,2.6,2.8,0.2,Y,4,5,4,5,4,4,5,5,3,4,5,5,4,4,4,4,3,4,4,4,4,4.4,0.4,Y,4,4,2,2,4,4,4,4,3.5,3.5,0,N,3,4,5,5,4,3,3,3,3.75,3.75,0,N,571,29-08-21 7:49
4560359162,KahHeng,35 - 44,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,7,3,3,3,2,3,3,3,3,4,3,3,4,4,3,4,3,3,2,2,3,3,2,3,2,3,4,3,2,3,2,3,3,3,2,3,2.69,3.13,0.44,Y,3,3,3,3,3,4,4,3,4,4,3.4,3.4,0,N,3,4,4,4,4,4,4,3,3,4,4,4,4,4,3,3,4,3,3,3,3.6,3.6,0,N,5,4,2,4,2,3,2,4,2.75,3.75,1,Y,4,4,4,4,4,4,3,3,3.75,3.75,0,N,844,01-09-21 12:18
2092256919,KahHeng,35 - 44,Male,No,Not Applicable,No,Postgraduate Degree,C2C Social Media Invasion,6,4,4,4,2,5,2,5,2,5,4,5,4,4,3,3,3,5,2,3,2,5,3,5,2,5,4,5,2,5,3,5,2,5,2,5,2.63,4.69,2.06,Y,1,2,2,1,4,5,2,1,4,5,2.6,2.8,0.2,Y,4,5,4,4,5,5,3,5,2,5,4,5,4,5,4,5,4,5,3,5,3.7,4.7,1,Y,5,5,2,5,4,5,4,5,3.75,5,1.25,Y,5,3,4,5,4,5,3,3,4,3.75,-0.25,N,814,31-08-21 14:21
6795225193,KahHeng,35 - 44,Male,Yes,Colleague,No,Postgraduate Degree,C2C Social Media Invasion,5,5,5,5,2,4,2,4,2,2,4,5,4,3,4,3,3,2,4,5,2,3,2,2,2,2,2,3,2,2,2,3,2,3,1,1,2.5,2.94,0.44,Y,4,4,4,2,5,5,2,1,4,3,3.8,3,-0.8,N,5,5,5,5,5,5,5,5,2,3,5,5,4,4,3,4,3,3,3,3,4,4.2,0.2,Y,5,5,2,3,2,3,2,3,2.75,3.5,0.75,Y,4,5,5,5,3,5,2,2,3.5,4.25,0.75,Y,720,30-08-21 2:29
