UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,Post-Pre_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,Post-Pre_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,Post-Pre_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,Post-Pre_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,Post-Pre_MR5,I_MR5,ENTRY_ID,DATE_TIME
6690604F30,Kidzrul,25 - 34,Female,Yes,Friend,No,University Degree,C2C Social Media Invasion,3,4,4,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,3,5,5,2,3,2,2,5,5,5,5,5,5,5,5,3,4,4.44,4.44,0,N,4,5,3,3,4,5,3,2,5,5,3.8,4,0.2,Y,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,N,3,5,5,5,5,5,5,5,4.5,5,0.5,Y,1,1,1,1,2,2,2,3,1.5,2,0.5,Y,989,03-09-21 14:15
6437755A57,Kidzrul,55 - 64,Male,Yes,Friend,No,ITE,C2C Social Media Invasion,7,3,3,3,2,3,2,3,2,3,2,4,1,2,1,2,1,4,1,2,2,3,1,3,1,3,4,5,4,5,4,5,4,5,2,4,2.13,3.5,1.38,Y,3,3,1,3,2,4,4,3,1,4,2.2,3.4,1.2,Y,4,5,5,4,1,3,3,5,2,5,4,5,4,5,4,5,4,5,4,5,3.5,4.6,1.1,Y,3,4,3,4,3,3,2,3,2.75,3.5,0.75,Y,5,1,4,1,4,1,1,3,3.5,1.5,-2,N,1057,04-09-21 5:27
7427016G34,Kidzrul,45 - 54,Female,Yes,Family Member,Yes,No Formal Education,C2C Social Media Invasion,3,3,2,1,5,4,4,5,1,3,5,3,5,4,4,5,5,3,1,3,3,4,3,4,2,5,3,1,3,4,3,5,3,5,4,5,3.38,3.94,0.56,Y,5,3,3,5,2,4,5,3,1,1,3.2,3.2,0,N,4,5,4,2,3,3,1,5,5,5,5,5,5,5,4,5,4,5,5,5,4,4.5,0.5,Y,1,4,2,4,3,4,3,4,2.25,4,1.75,Y,1,4,2,1,1,1,2,1,1.5,2.25,0.75,Y,995,03-09-21 14:39
8037201A92,Kidzrul,25 - 34,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,6,3,3,3,1,3,2,2,3,1,2,2,3,3,4,3,3,2,3,3,3,3,2,4,1,4,3,3,2,3,1,3,2,2,2,4,2.31,2.81,0.5,Y,3,1,3,5,3,4,3,3,1,3,2.6,3.2,0.6,Y,1,4,4,5,3,4,1,5,3,4,4,4,3,4,2,4,3,4,3,4,2.7,4.1,1.4,Y,1,5,2,3,3,3,3,4,2.25,3.75,1.5,Y,4,2,3,2,3,3,2,2,3,2,-1,N,1007,03-09-21 15:08
4478108C89,Kidzrul,55 - 64,Female,No,Not Applicable,No,Upper Secondary School,C2C Social Media Invasion,3,4,4,4,1,3,1,3,2,3,1,1,1,1,2,1,1,1,2,1,1,1,3,1,1,1,1,2,2,2,1,2,1,2,1,1,1.38,1.63,0.25,Y,2,4,2,1,3,5,1,1,1,2,1.8,2.6,0.8,Y,3,4,1,4,2,3,1,2,1,4,5,4,3,4,4,4,3,4,1,4,2.4,3.4,1,Y,1,5,1,3,1,3,1,3,1,3.5,2.5,Y,3,4,2,3,5,3,1,1,2.75,3,0.25,Y,1020,03-09-21 16:09
4641241J41,Kidzrul,25 - 34,Female,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,4,3,3,3,3,3,2,3,2,3,2,2,3,3,2,3,2,3,1,3,2,3,2,3,2,3,3,5,3,4,3,3,3,3,4,3,2.44,3.13,0.69,Y,3,3,3,3,3,4,3,2,2,4,2.8,3.2,0.4,Y,5,3,4,3,2,4,5,5,3,3,4,4,4,4,4,4,4,4,4,4,3.9,3.8,-0.1,N,1,4,4,3,4,4,4,4,3.25,3.75,0.5,Y,3,2,3,3,3,2,3,2,3,2,-1,N,1033,04-09-21 1:11
3066241J51,Kidzrul,25 - 34,Female,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,5,4,4,4,3,3,2,3,2,3,2,2,3,2,2,2,2,2,1,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,4,3,2.44,2.63,0.19,Y,3,3,3,1,3,4,3,2,2,3,2.8,2.6,-0.2,N,5,5,4,4,2,3,5,3,3,3,4,5,4,5,4,5,4,5,4,5,3.9,4.2,0.3,Y,1,3,4,3,4,3,4,3,3.25,3,-0.25,N,3,3,3,3,3,3,3,3,3,2.75,-0.25,N,1034,04-09-21 1:13
8629199Z48,Kidzrul,25 - 34,Male,Yes,Friend,No,University Degree,C2C Social Media Invasion,8,5,5,2,3,5,4,5,5,5,3,5,3,3,3,3,3,5,4,2,3,2,3,3,3,4,5,5,5,5,5,1,5,5,5,4,3.88,3.88,0,N,3,3,3,3,4,4,2,3,3,5,3,3.6,0.6,Y,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8,5,0.2,Y,2,5,3,5,4,5,4,5,3.25,5,1.75,Y,2,1,1,1,1,1,3,1,1.75,1.5,-0.25,N,1011,03-09-21 15:27
1161384J71,Kidzrul,65 - 74,Male,Yes,Friend,No,Upper Secondary School,C2C Social Media Invasion,4,5,5,5,5,5,3,5,5,5,5,4,4,2,2,2,3,4,1,1,3,3,2,2,2,2,5,5,4,5,4,5,4,5,4,5,3.5,3.75,0.25,Y,4,5,1,3,5,5,1,2,4,5,3,4,1,Y,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.6,5,0.4,Y,2,5,3,5,4,5,4,5,3.25,5,1.75,Y,4,1,1,1,1,1,1,1,1.75,1,-0.75,N,1040,04-09-21 1:32
6509220G19,Kidzrul,18 -24,Male,Yes,Friend,No,Lower Secondary School,C2C Social Media Invasion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.75,-0.25,N,5,1,1,1,1,1,1,1,5,1,2.6,1,-1.6,N,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8,5,0.2,Y,5,5,5,5,1,5,1,5,3,5,2,Y,1,5,1,5,1,5,5,5,2,4,2,Y,579,29-08-21 8:08
4092627F98,Kidzrul,35 - 44,Female,Yes,"Friend
Colleague",No,Junior College/ Pre-University Institution,C2C Social Media Invasion,6,5,3,3,5,5,5,5,5,5,5,4,3,2,2,3,5,4,4,2,4,3,3,4,3,3,5,5,5,5,5,5,5,5,5,4,4.31,4,-0.31,N,5,5,3,3,4,5,4,2,4,5,4,4,0,N,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.9,5,0.1,Y,5,5,5,5,5,5,5,5,5,5,0,N,5,3,2,2,3,3,2,3,3,3.25,0.25,Y,1017,03-09-21 15:44
3.98147E+97,Kidzrul,25 - 34,Female,Yes,"Family Member
Friend",No,Postgraduate Degree,C2C Social Media Invasion,5,5,4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,4,5,4.5,-0.5,N,5,5,1,3,5,4,1,2,5,5,3.4,3.8,0.4,Y,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,N,5,5,5,5,5,5,5,5,5,5,0,N,1,1,1,1,1,1,2,2,1.25,1.5,0.25,Y,1042,04-09-21 1:40
8054979D80,Kidzrul,35 - 44,Male,Yes,Family Member,Yes,Polytechnic,C2C Social Media Invasion,6,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4.94,-0.06,N,5,5,1,1,4,4,2,1,4,5,3.2,3.2,0,N,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.9,5,0.1,Y,5,5,5,5,5,5,5,5,5,5,0,N,1,1,1,1,1,1,3,5,1.5,1.25,-0.25,N,1052,04-09-21 2:36
7987671D52,Kidzrul,25 - 34,Female,Yes,Family Member,No,Polytechnic,C2C Social Media Invasion,8,3,3,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,1,5,5,5,5,5,5,5,5,3,4.25,4.88,0.63,Y,5,5,1,1,4,4,1,1,5,5,3.2,3.2,0,N,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.9,-0.1,N,5,5,5,5,5,5,5,5,5,5,0,N,1,1,1,1,1,1,1,3,1,2,1,Y,1054,04-09-21 2:56
6264220G97,Kidzrul,55 - 64,Male,Yes,Friend,No,Lower Secondary School,C2C Social Media Invasion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,4.5,-0.5,N,5,5,1,1,1,4,1,1,5,5,2.6,3.2,0.6,Y,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8,5,0.2,Y,5,5,5,5,1,5,1,5,3,5,2,Y,1,1,1,1,1,1,5,1,2,1.5,-0.5,N,1063,04-09-21 5:54
2.87806E+98,Kidzrul,25 - 34,Female,Yes,Friend,No,Junior College/ Pre-University Institution,C2C Social Media Invasion,5,4,4,4,5,5,5,5,5,3,5,5,3,4,3,5,5,5,2,3,2,3,2,2,2,1,1,5,5,5,5,5,5,5,5,5,3.75,4.13,0.38,Y,5,5,1,3,4,3,2,3,3,1,3,3,0,N,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8,4.8,0,N,4,4,5,2,5,5,5,5,4.75,4,-0.75,N,1,1,1,2,1,2,1,1,1,1.5,0.5,Y,176,31-07-21 4:10
3923580G89,Kidzrul,55 - 64,Female,No,Not Applicable,No,Junior College/ Pre-University Institution,C2C Social Media Invasion,7,4,4,4,5,5,5,5,5,5,3,5,3,3,3,2,3,4,3,3,3,3,3,2,3,2,5,5,3,5,3,1,4,5,4,5,3.63,3.75,0.13,Y,3,5,1,3,4,5,2,1,3,5,2.6,3.8,1.2,Y,5,5,3,5,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4.5,5,0.5,Y,4,5,4,5,4,5,4,5,4,5,1,Y,3,1,2,1,2,1,2,1,2.25,1,-1.25,N,1037,04-09-21 1:22
3.58406E+66,Kidzrul,25 - 34,Female,Yes,Friend,No,Junior College/ Pre-University Institution,C2C Social Media Invasion,4,4,3,5,5,5,5,5,5,5,5,3,3,3,3,3,5,3,2,3,2,2,2,2,2,2,1,1,5,5,5,5,5,5,5,3,3.75,3.44,-0.31,N,5,5,1,1,4,5,2,1,3,5,3,3.4,0.4,Y,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8,5,0.2,Y,4,5,5,5,5,5,5,5,4.75,5,0.25,Y,1,1,1,1,1,1,1,1,1,1,0,N,1044,04-09-21 1:49
4279536N60,Kidzrul,65 - 74,Female,Yes,Family Member,No,Lower Secondary School,C2C Social Media Invasion,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,N,5,5,1,2,4,5,2,1,5,5,3.4,3.6,0.2,Y,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,N,4,5,5,5,5,5,5,5,4.75,5,0.25,Y,1,1,1,1,1,1,3,1,1.5,1,-0.5,N,1047,04-09-21 2:00
5111267B88,Kidzrul,25 - 34,Female,Yes,"Family Member
Friend",No,Polytechnic,C2C Social Media Invasion,7,4,4,4,4,5,4,5,5,5,4,5,3,5,3,5,3,5,3,5,3,4,3,4,2,4,4,5,5,5,4,5,4,5,3,2,3.56,4.63,1.06,Y,4,4,2,3,4,4,2,2,4,4,3.2,3.4,0.2,Y,5,5,3,5,3,4,5,5,3,4,5,5,5,5,5,5,4,5,4,5,4.2,4.7,0.5,Y,4,4,5,5,2,5,2,5,3.25,4.75,1.5,Y,2,2,1,1,1,1,2,2,1.5,1.25,-0.25,N,1061,04-09-21 5:42
