UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,Post-Pre_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,Post-Pre_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,Post-Pre_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,Post-Pre_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,Post-Pre_MR5,I_MR5,ENTRY_ID,DATE_TIME
1119690A64,Krystal,18 -24,Female,Yes,Friend,No,Upper Secondary School,C2C Social Media Invasion,6,4,4,4,4,5,5,5,5,5,5,4,4,3,4,5,5,5,5,4,3,5,3,4,3,4,5,5,5,5,5,5,5,5,5,5,4.44,4.63,0.19,Y,5,4,3,3,3,4,4,2,3,4,3.6,3.4,-0.2,N,3,4,5,5,2,4,5,5,5,1,5,5,4,5,4,4,3,5,3,4,3.9,4.1,0.2,Y,3,4,5,4,5,5,5,5,4.5,4.5,0,N,5,5,4,5,2,3,2,2,3.25,4,0.75,Y,857,02-09-21 8:55
3246545D12,Krystal,18 -24,Female,Yes,"Family Member
Friend
Classmate",No,Polytechnic,C2C Social Media Invasion,8,4,5,3,3,5,3,5,3,5,3,5,3,4,3,4,3,5,3,5,3,5,3,4,3,4,3,5,3,5,3,5,3,5,3,5,3,4.75,1.75,Y,3,5,3,5,3,4,3,3,3,2,3,3.8,0.8,Y,3,3,3,2,3,2,3,5,3,1,3,4,3,5,3,4,3,4,3,5,3,3.3,0.3,Y,3,4,3,5,3,4,3,5,3,4.5,1.5,Y,3,5,3,5,3,2,3,4,3,3.5,0.5,Y,185,06-08-21 13:54
8569531Z62,Krystal,25 - 34,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,3,4,3,3,3,3,3,3,4,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3.13,2.94,-0.19,N,2,2,3,3,4,4,2,3,3,3,2.8,3,0.2,Y,5,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3.4,3,-0.4,N,3,4,3,2,4,4,3,4,3.25,3.5,0.25,Y,3,3,3,3,3,3,3,3,3,3.25,0.25,Y,859,02-09-21 9:01
2118912Z12,Krystal,18 -24,Male,No,Not Applicable,No,ITE,C2C Social Media Invasion,4,5,5,5,3,5,2,5,4,5,4,3,5,2,4,5,2,5,2,1,2,5,2,4,2,2,3,5,3,5,3,5,3,5,3,5,2.94,4.19,1.25,Y,4,1,2,3,4,4,4,2,4,5,3.6,3,-0.6,N,4,5,4,5,2,5,5,5,3,5,4,5,4,5,4,5,4,5,4,5,3.8,4.9,1.1,Y,3,5,2,5,3,5,4,5,3,5,2,Y,4,5,4,5,2,3,3,5,3.25,4,0.75,Y,61,14-07-21 13:27
5876912Z47,Krystal,18 -24,Female,No,Not Applicable,No,ITE,C2C Social Media Invasion,7,5,5,5,3,4,2,4,4,4,4,3,5,5,4,3,2,4,2,2,2,2,2,2,2,2,3,4,3,4,3,4,3,4,3,3,2.94,3.38,0.44,Y,4,4,2,4,4,3,4,2,4,5,3.6,3.6,0,N,4,4,4,5,2,5,5,5,3,4,4,4,4,5,4,5,4,5,4,5,3.8,4.6,0.8,Y,3,4,2,3,3,4,4,4,3,3.75,0.75,Y,4,5,4,5,2,4,3,4,3.25,4.75,1.5,Y,141,25-07-21 13:24
7957080D75,Krystal,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,8,5,5,5,3,5,4,5,3,5,4,4,4,5,4,5,4,5,4,5,4,3,3,3,3,2,3,4,3,3,3,5,3,5,3,5,3.44,4.31,0.88,Y,3,4,4,4,4,4,4,2,3,2,3.6,3.2,-0.4,N,4,3,2,5,3,2,3,4,3,5,3,5,3,5,3,5,3,3,3,3,3,4,1,Y,3,4,3,1,3,5,3,5,3,3.75,0.75,Y,3,4,3,4,3,1,3,4,3,3.25,0.25,Y,111,21-07-21 13:42
7281369H61,Krystal,18 -24,Male,Yes,Friend,No,Upper Secondary School,C2C Social Media Invasion,4,5,5,5,3,5,3,5,3,5,3,3,3,5,3,5,3,5,3,5,3,2,4,5,2,5,4,5,3,5,3,5,3,5,3,5,3.06,4.69,1.63,Y,3,3,3,3,3,5,3,1,2,5,2.8,3.4,0.6,Y,3,4,5,5,2,5,5,5,3,5,3,5,3,5,3,5,3,5,3,5,3.3,4.7,1.4,Y,3,4,3,4,3,5,3,5,3,4.5,1.5,Y,3,1,3,3,1,1,4,3,2.75,2.25,-0.5,N,115,21-07-21 16:24
8196865A98,Krystal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,8,5,5,5,3,4,3,5,4,4,4,5,5,4,4,4,4,5,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,5,3,4,3.44,4.19,0.75,Y,4,4,3,4,2,3,4,3,2,3,3,3.4,0.4,Y,3,4,4,4,4,5,3,4,3,4,5,5,5,5,3,4,3,4,3,4,3.6,4.2,0.6,Y,2,4,4,4,3,4,4,4,3.25,4,0.75,Y,4,5,4,4,3,3,5,4,4,3.75,-0.25,N,435,28-08-21 17:06
7290094I29,Krystal,18 -24,Male,Yes,Not Applicable,Yes,Primary School,C2C Social Media Invasion,8,4,4,5,1,2,1,2,1,2,5,2,1,2,3,3,1,2,2,4,3,2,1,2,3,3,1,2,2,2,2,2,1,2,1,2,1.81,2.25,0.44,Y,1,2,2,4,2,2,4,3,3,1,2.4,2.4,0,N,1,2,3,3,1,3,4,4,1,2,3,3,3,3,2,3,2,2,1,2,2.1,2.6,0.5,Y,2,4,5,4,1,2,1,2,2.25,3,0.75,Y,2,4,4,4,3,3,5,3,3.5,3.75,0.25,Y,37,10-07-21 16:15
7501100C70,Krystal,18 -24,Male,No,Not Applicable,No,Upper Secondary School,C2C Social Media Invasion,3,5,5,5,3,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,2,3,2,3,5,4,5,4,5,4,5,4,2,4,4.31,3.31,-1,N,2,2,5,3,2,3,5,3,1,2,3,2.6,-0.4,N,3,3,1,3,5,2,5,4,5,2,5,3,5,2,4,2,3,3,1,3,3.7,2.5,-1.2,N,5,4,5,3,4,3,5,3,4.75,3.25,-1.5,N,5,4,5,4,5,4,3,4,4.5,3.75,-0.75,N,171,29-07-21 10:29
