UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,Post-Pre_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,Post-Pre_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,Post-Pre_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,Post-Pre_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,Post-Pre_MR5,I_MR5,ENTRY_ID,DATE_TIME
6212754A96,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,8,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,2.75,-0.25,N,382,28-08-21 8:59
3224833A58,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,3,5,5,5,3,2,3,2,3,2,3,2,3,2,3,4,3,4,3,2,3,2,3,2,3,2,3,4,3,4,3,4,3,4,3,4,3,2.88,-0.13,N,3,2,3,2,3,4,3,2,3,4,3,2.8,-0.2,N,3,4,3,4,3,5,3,5,3,4,3,4,3,4,3,4,3,4,3,4,3,4.1,1.1,Y,3,4,3,2,3,4,3,4,3,3.5,0.5,Y,3,2,3,2,3,4,3,5,3,2.75,-0.25,N,531,29-08-21 6:51
6625498Z58,Nirmal,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,3,5,5,5,4,3,4,4,5,5,4,4,5,5,4,3,5,5,5,4,4,3,1,1,2,2,5,5,4,4,5,4,4,4,4,4,4.06,3.75,-0.31,N,4,4,2,3,3,3,3,2,1,2,2.6,2.8,0.2,Y,5,5,1,5,3,3,5,5,4,4,5,5,4,5,4,4,5,5,3,4,3.9,4.4,0.5,Y,3,5,4,5,3,4,4,5,3.5,4.75,1.25,Y,4,4,5,3,2,2,2,2,3.25,3.5,0.25,Y,535,29-08-21 6:56
1739294C65,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,4,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,5,3,3,4,4,3,3,3,4,5,5,5,5,5,5,5,5,5,4.38,4.38,0,N,4,3,3,2,3,1,2,2,1,2,2.6,2,-0.6,N,4,3,3,4,2,2,5,5,5,1,4,4,4,4,4,4,3,4,3,3,3.7,3.4,-0.3,N,3,5,4,4,4,5,5,5,4,4.75,0.75,Y,4,3,4,5,5,4,3,5,4,3.5,-0.5,N,537,29-08-21 6:57
6813132Z71,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,5,4,4,5,4,4,4,4,2,4,4,4,3,4,3,2,3,5,3,3,3,4,3,4,3,4,4,4,3,4,3,3,2,3,3,2,3.13,3.63,0.5,Y,3,1,4,2,4,4,2,2,3,3,3.2,2.4,-0.8,N,3,5,3,3,4,4,3,2,3,4,4,3,3,3,2,3,3,4,3,4,3.1,3.4,0.3,Y,3,5,3,5,4,4,3,4,3.25,4.5,1.25,Y,4,3,3,3,3,3,3,3,3.25,3.5,0.25,Y,558,29-08-21 7:19
5629255J44,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,7,3,3,3,2,4,5,5,2,2,3,3,5,5,3,4,5,5,4,5,3,4,4,5,2,4,4,5,5,5,5,5,5,5,5,5,3.88,4.44,0.56,Y,2,3,4,4,3,4,3,2,5,5,3.4,3.6,0.2,Y,4,4,4,5,5,5,4,5,4,4,4,4,5,4,4,4,3,3,3,3,4,4.1,0.1,Y,3,4,2,4,5,5,5,5,3.75,4.5,0.75,Y,4,5,5,5,2,1,3,3,3.5,3.5,0,N,566,29-08-21 7:39
8011577B45,Nirmal,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,6,5,5,5,4,4,5,5,5,5,3,4,5,5,4,4,5,5,3,3,4,4,3,3,2,4,5,5,3,4,4,4,5,4,3,4,3.94,4.19,0.25,Y,3,3,2,3,3,3,2,2,5,5,3,3.2,0.2,Y,5,5,4,4,5,5,3,3,4,4,5,5,5,5,4,5,4,5,3,3,4.2,4.4,0.2,Y,3,5,4,4,4,4,4,4,3.75,4.25,0.5,Y,3,3,3,3,4,4,5,4,3.75,3.25,-0.5,N,633,29-08-21 9:23
5818530G12,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,6,5,5,5,4,5,4,5,3,5,3,4,2,1,3,4,4,5,4,4,3,3,2,4,2,3,5,5,3,5,5,5,4,5,4,5,3.44,4.25,0.81,Y,4,4,4,3,4,3,3,2,4,5,3.8,3.4,-0.4,N,3,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,3,5,4.5,4.6,0.1,Y,3,5,3,5,3,5,4,5,3.25,5,1.75,Y,3,3,5,5,4,4,3,3,3.75,4,0.25,Y,638,29-08-21 9:30
3331999Z30,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,4,5,5,5,5,5,4,5,5,5,3,3,5,5,4,5,5,5,3,2,3,4,3,5,4,5,5,5,4,5,5,5,4,5,3,5,4.06,4.63,0.56,Y,5,5,3,4,2,4,4,2,3,3,3.4,3.6,0.2,Y,5,4,4,3,3,4,5,5,4,5,4,5,3,5,4,5,3,5,2,3,3.7,4.3,0.6,Y,3,5,4,4,4,4,4,5,3.75,4.5,0.75,Y,5,5,3,5,3,3,2,3,3.25,4,0.75,Y,640,29-08-21 9:35
4397648F29,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,8,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,0,N,438,28-08-21 18:25
