UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,Post-Pre_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,Post-Pre_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,Post-Pre_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,Post-Pre_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,Post-Pre_MR5,I_MR5,ENTRY_ID,DATE_TIME
8000348F28,Syazana,18 -24,Male,Yes,Friend,No,ITE,C2C Social Media Invasion,5,5,5,5,3,5,4,5,4,5,3,5,2,5,3,5,3,4,2,1,4,5,4,1,3,5,4,5,4,5,4,5,4,5,4,5,3.44,4.44,1,Y,2,5,3,4,3,2,1,1,3,1,2.4,2.6,0.2,Y,5,5,4,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4.6,4.8,0.2,Y,3,5,2,4,3,5,4,5,3,4.75,1.75,Y,4,5,5,1,3,1,3,1,3.75,3,-0.75,N,945,09-09-21 3:27
7429016C89,Syazana,25 - 34,Female,Yes,"Family Member
Friend
Classmate",No,Polytechnic,C2C Social Media Invasion,6,5,5,5,5,5,5,5,5,5,3,5,3,5,3,4,3,5,5,5,5,5,3,1,3,5,5,5,5,5,5,5,5,5,5,5,4.25,4.69,0.44,Y,5,5,4,5,2,3,3,3,1,1,3,3.4,0.4,Y,4,4,3,4,5,3,5,5,4,4,5,5,5,5,5,5,5,4,5,5,4.6,4.4,-0.2,N,3,5,5,3,4,5,4,5,4,4.5,0.5,Y,5,5,3,5,1,1,1,2,2.5,3,0.5,Y,187,06-08-21 16:24
2430016C45,Syazana,25 - 34,Female,Yes,"Family Member
Friend
Classmate",No,Polytechnic,C2C Social Media Invasion,3,5,5,5,5,5,5,5,5,5,3,5,3,4,3,5,3,5,5,5,5,5,3,3,3,4,5,5,5,5,5,5,5,5,5,5,4.25,4.75,0.5,Y,5,4,4,4,2,3,3,3,1,1,3,3,0,N,4,4,3,1,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4.6,4.4,-0.2,N,3,5,5,5,4,4,4,4,4,4.5,0.5,Y,5,5,3,4,1,1,1,1,2.5,3,0.5,Y,332,28-08-21 1:54
7707768J68,Syazana,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,5,5,5,2,3,5,5,5,5,5,3,5,3,5,5,5,5,5,5,1,5,2,3,2,2,4,5,5,3,5,5,5,5,5,5,5,4.19,4.31,0.13,Y,3,4,3,2,3,3,3,2,1,4,2.6,3,0.4,Y,3,4,5,4,5,4,5,2,1,5,5,5,5,5,5,5,5,5,5,5,4.4,4.4,0,N,3,5,3,5,3,5,3,5,3,5,2,Y,3,5,3,5,3,2,2,2,2.75,3.25,0.5,Y,425,28-08-21 15:31
3301071C98,Syazana,18 -24,Male,No,Not Applicable,No,Upper Secondary School,C2C Social Media Invasion,8,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,2.75,-0.25,N,882,02-09-21 11:03
7618304D30,Syazana,25 - 34,Male,Yes,"Family Member
Friend
Colleague
Classmate
Partner (BF/GF)",No,Polytechnic,C2C Social Media Invasion,4,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,0,N,917,02-09-21 14:31
7.70267E+44,Syazana,25 - 34,Female,Yes,"Friend
Colleague",No,Polytechnic,C2C Social Media Invasion,6,4,4,4,2,3,3,3,3,3,3,3,4,4,3,3,3,4,4,3,3,4,2,3,2,3,3,4,3,4,3,4,3,4,3,4,2.94,3.5,0.56,Y,3,2,3,3,4,4,2,2,4,4,3.2,3,-0.2,N,4,4,2,4,4,4,3,3,3,2,3,4,4,4,4,4,3,4,3,4,3.3,3.6,0.3,Y,3,4,3,2,3,4,3,4,3,3.5,0.5,Y,3,3,2,3,2,3,2,2,2.25,3,0.75,Y,994,03-09-21 14:39
1179768J17,Syazana,25 - 34,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,6,5,5,5,3,5,5,5,5,5,3,4,3,3,5,2,5,4,5,2,5,1,3,4,2,3,5,4,3,5,5,5,5,5,5,5,4.19,3.88,-0.31,N,3,4,3,2,3,3,3,2,1,3,2.6,2.8,0.2,Y,3,4,5,4,5,5,5,4,1,1,5,5,5,5,5,5,5,5,5,5,4.4,4.3,-0.1,N,3,4,3,5,3,4,3,4,3,4.25,1.25,Y,3,4,3,4,3,4,2,1,2.75,3.5,0.75,Y,1081,06-09-21 1:08
4609096H54,Syazana,25 - 34,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,1,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4.44,4.44,0,N,5,5,4,4,4,2,1,1,1,1,3,2.6,-0.4,N,5,5,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4.6,4.8,0.2,Y,5,5,2,4,5,5,5,5,4.25,4.75,0.5,Y,5,5,1,1,1,1,2,1,2.25,2,-0.25,N,939,03-09-21 3:27
6375935G77,Syazana,18 -24,Male,No,Not Applicable,No,ITE,C2C Social Media Invasion,4,5,5,5,2,5,2,5,2,5,2,5,2,5,2,5,2,4,2,1,2,5,2,1,2,5,2,5,2,5,2,5,2,5,2,5,2,4.44,2.44,Y,2,5,2,4,4,2,2,1,4,1,2.8,2.6,-0.2,N,4,5,4,5,4,4,2,5,4,5,4,5,4,5,4,5,4,5,4,4,3.8,4.8,1,Y,4,5,2,4,4,5,4,5,3.5,4.75,1.25,Y,2,5,2,1,2,1,2,1,2,2,0,N,947,11-09-21 3:27
1741374L73,Syazana,25 - 34,Male,No,Not Applicable,No,ITE,C2C Social Media Invasion,3,5,5,5,2,5,2,5,2,5,2,5,3,5,2,5,2,4,2,1,2,5,2,1,2,5,2,5,2,5,2,5,2,5,2,5,2.06,4.44,2.38,Y,2,5,2,4,4,2,2,1,4,1,2.8,2.6,-0.2,N,4,5,4,5,4,4,2,5,4,5,4,5,4,5,4,5,4,5,4,4,3.8,4.8,1,Y,4,5,2,4,4,5,4,5,3.5,4.75,1.25,Y,2,5,2,1,2,1,2,1,2,2,0,N,946,10-09-21 3:27
7.59051E+75,Syazana,35 - 44,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,4,5,5,5,4,5,2,5,3,5,3,5,3,5,2,5,2,4,2,1,4,5,2,1,2,5,4,5,2,5,3,5,2,5,2,5,2.63,4.44,1.81,Y,3,5,4,4,4,2,2,1,2,1,3,2.6,-0.4,N,5,5,4,5,4,4,4,5,2,5,4,5,4,5,2,5,4,5,3,4,3.6,4.7,1.1,Y,4,5,4,4,3,5,3,5,3.5,4.75,1.25,Y,2,5,4,1,2,1,2,1,2.5,2,-0.5,N,944,08-09-21 3:27
5132769A25,Syazana,18 -24,Male,No,Not Applicable,No,University Degree,C2C Social Media Invasion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4.75,4.44,-0.31,N,5,5,5,4,1,2,2,1,5,1,3.6,2.6,-1,N,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4.6,4.9,0.3,Y,4,5,5,4,5,5,5,5,4.75,4.75,0,N,2,5,2,1,5,1,5,1,3.5,2,-1.5,N,943,07-09-21 3:27
3247S9404311E86,Syazana,25 - 34,Male,Yes,Family Member,No,Polytechnic,C2C Social Media Invasion,8,5,5,5,4,5,4,5,4,5,2,5,4,5,3,5,5,4,2,1,5,5,4,1,4,5,5,5,5,5,5,5,5,5,2,5,3.94,4.44,0.5,Y,4,5,4,4,4,2,4,1,5,1,4.2,2.6,-1.6,N,4,5,3,5,4,4,4,5,2,5,5,5,5,5,2,5,4,5,3,4,3.6,4.7,1.1,Y,4,5,4,4,4,5,4,5,4,4.75,0.75,Y,5,5,5,1,3,1,5,1,4.5,2,-2.5,N,942,06-09-21 3:27
3833570911,Syazana,18 -24,Male,Yes,Friend,No,University Degree,C2C Social Media Invasion,8,5,5,5,5,5,5,5,5,5,3,5,4,5,4,5,5,4,2,1,4,5,4,1,4,5,5,5,5,5,4,5,5,5,2,5,4.13,4.44,0.31,Y,4,5,4,4,2,2,3,1,4,1,3.4,2.6,-0.8,N,4,5,5,5,4,4,5,5,3,5,5,5,5,5,5,5,5,5,5,4,4.6,4.9,0.3,Y,4,5,4,4,4,5,5,5,4.25,4.75,0.5,Y,5,5,5,1,4,1,4,1,4.5,2,-2.5,N,941,05-09-21 3:27
5251800I65,Syazana,35 - 44,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,6,5,5,5,5,5,1,5,1,5,1,5,3,5,3,5,5,4,1,1,5,5,2,1,4,5,3,5,5,5,1,5,2,5,1,5,2.69,4.44,1.75,Y,1,5,1,4,5,2,2,1,5,1,2.8,2.6,-0.2,N,2,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4.6,4.9,0.3,Y,4,5,3,4,1,5,1,5,2.25,4.75,2.5,Y,5,5,5,1,5,1,5,1,5,2,-3,N,940,04-09-21 3:27
3529226I75,Syazana,25 - 34,Female,Yes,"Family Member
Friend
Classmate",Yes,Polytechnic,C2C Social Media Invasion,8,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,4.75,4.69,-0.06,N,5,5,5,3,2,2,5,4,4,4,4.2,3.6,-0.6,N,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4.7,4.8,0.1,Y,4,5,4,4,5,5,5,5,4.5,4.75,0.25,Y,5,5,5,5,2,2,3,3,3.75,3.25,-0.5,N,880,02-09-21 10:55
6036347I98,Syazana,35 - 44,Female,Yes,Family Member,No,Upper Secondary School,C2C Social Media Invasion,7,5,5,5,4,5,5,5,5,5,5,5,5,3,4,3,5,5,2,1,2,3,2,2,2,2,5,5,5,5,5,5,5,5,5,5,4.13,4,-0.13,N,3,1,4,1,4,5,2,1,4,5,3.4,2.6,-0.8,N,4,5,4,5,3,4,5,5,4,1,4,5,5,5,4,5,4,5,5,5,4.2,4.5,0.3,Y,4,5,3,1,4,5,4,5,3.75,4,0.25,Y,4,3,5,5,5,5,2,2,4,4,0,N,913,02-09-21 13:33
4969507268,Syazana,35 - 44,Female,Yes,Friend,No,University Degree,C2C Social Media Invasion,8,4,4,4,5,2,3,2,5,2,2,3,4,4,2,3,4,3,2,3,4,3,3,3,4,3,4,2,3,4,4,4,2,4,4,2,3.44,2.94,-0.5,N,5,2,4,2,4,4,4,2,4,3,4.2,2.6,-1.6,N,2,4,3,3,3,5,1,4,4,4,4,4,2,4,4,2,2,2,4,4,2.9,3.6,0.7,Y,4,4,4,2,3,4,5,4,4,3.5,-0.5,N,4,3,1,5,4,2,2,4,2.75,3,0.25,Y,914,02-09-21 13:47
5116629B67,Syazana,18 -24,Female,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,5,5,5,5,3,1,3,1,3,1,2,3,2,1,2,1,2,1,2,1,4,3,2,1,2,2,2,2,3,2,4,5,4,5,4,5,2.75,2.19,-0.56,N,2,1,2,1,4,5,2,3,4,5,2.8,3,0.2,Y,5,5,4,5,4,5,3,2,5,1,5,5,5,5,5,5,5,5,5,5,4.6,4.3,-0.3,N,4,5,2,1,4,5,4,5,3.5,4,0.5,Y,2,1,2,1,2,1,1,1,1.75,1.75,0,N,128,24-07-21 13:35
